Site,Value
Beijing,17
Beijing,21
Beijing,17
Beijing,9
Beijing,18
Beijing,16
Beijing,12
Beijing,27
Beijing,34
Beijing,41
Beijing,41
Beijing,96
Beijing,92
Beijing,70
Beijing,67
Beijing,62
Beijing,59
Beijing,54
Beijing,56
Beijing,67
Beijing,74
Beijing,82
Beijing,84
Beijing,99
Beijing,116
Beijing,124
Beijing,131
Beijing,120
Beijing,107
Beijing,112
Beijing,120
Beijing,119
Beijing,144
Beijing,135
Beijing,163
Beijing,165
Beijing,162
Beijing,162
Beijing,154
Beijing,150
Beijing,148
Beijing,149
Beijing,171
Beijing,187
Beijing,191
Beijing,155
Beijing,83
Beijing,89
Beijing,91
Beijing,59
Beijing,60
Beijing,58
Beijing,89
Beijing,77
Beijing,80
Beijing,80
Beijing,88
Beijing,108
Beijing,129
Beijing,137
Beijing,140
Beijing,153
Beijing,160
Beijing,140
Beijing,114
Beijing,110
Beijing,132
Beijing,125
Beijing,131
Beijing,144
Beijing,162
Beijing,183
Beijing,197
Beijing,224
Beijing,242
Beijing,256
Beijing,266
Beijing,293
Beijing,305
Beijing,302
Beijing,311
Beijing,302
Beijing,305
Beijing,312
Beijing,318
Beijing,313
Beijing,318
Beijing,309
Beijing,311
Beijing,313
Beijing,311
Beijing,303
Beijing,304
Beijing,315
Beijing,317
Beijing,211
Beijing,150
Beijing,143
Beijing,119
Beijing,93
Beijing,133
Beijing,144
Beijing,128
Beijing,136
Beijing,113
Beijing,90
Beijing,38
Beijing,29
Beijing,34
Beijing,31
Beijing,29
Beijing,27
Beijing,25
Beijing,21
Beijing,30
Beijing,35
Beijing,56
Beijing,40
Beijing,34
Beijing,36
Beijing,35
Beijing,30
Beijing,41
Beijing,43
Beijing,48
Beijing,48
Beijing,58
Beijing,67
Beijing,73
Beijing,80
Beijing,104
Beijing,103
Beijing,125
Beijing,113
Beijing,133
Beijing,90
Beijing,89
Beijing,79
Beijing,78
Beijing,81
Beijing,110
Beijing,112
Beijing,97
Beijing,100
Beijing,80
Beijing,60
Beijing,57
Beijing,53
Beijing,60
Beijing,62
Beijing,77
Beijing,79
Beijing,100
Beijing,122
Beijing,136
Beijing,138
Beijing,116
Beijing,120
Beijing,78
Beijing,53
Beijing,37
Beijing,28
Beijing,31
Beijing,32
Beijing,33
Beijing,30
Beijing,25
Beijing,26
Beijing,33
Beijing,38
Beijing,43
Beijing,36
Beijing,37
Beijing,38
Beijing,38
Beijing,40
Beijing,39
Beijing,47
Beijing,54
Beijing,53
Beijing,56
Beijing,54
Beijing,41
Beijing,30
Beijing,27
Beijing,18
Beijing,26
Beijing,15
Beijing,18
Beijing,17
Beijing,12
Beijing,14
Beijing,13
Beijing,13
Beijing,11
Beijing,12
Beijing,7
Beijing,0
Beijing,6
Beijing,8
Beijing,8
Beijing,17
Beijing,14
Beijing,18
Beijing,29
Beijing,47
Beijing,33
Beijing,26
Beijing,17
Beijing,18
Beijing,11
Beijing,8
Beijing,10
Beijing,8
Beijing,16
Beijing,16
Beijing,6
Beijing,9
Beijing,9
Beijing,15
Beijing,15
Beijing,17
Beijing,19
Beijing,24
Beijing,54
Beijing,42
Beijing,33
Beijing,35
Beijing,41
Beijing,41
Beijing,47
Beijing,47
Beijing,51
Beijing,66
Beijing,55
Beijing,57
Beijing,73
Beijing,66
Beijing,48
Beijing,26
Beijing,13
Beijing,8
Beijing,11
Beijing,11
Beijing,12
Beijing,11
Beijing,18
Beijing,17
Beijing,27
Beijing,37
Beijing,44
Beijing,44
Beijing,45
Beijing,60
Beijing,80
Beijing,111
Beijing,86
Beijing,69
Beijing,74
Beijing,61
Beijing,64
Beijing,71
Beijing,65
Beijing,73
Beijing,70
Beijing,64
Beijing,64
Beijing,70
Beijing,70
Beijing,75
Beijing,105
Beijing,101
Beijing,116
Beijing,125
Beijing,134
Beijing,146
Beijing,140
